"SC-SM"|No |"66692877"|"124302391"
"CL"|Yes|"66692877"|"124302388"
"SC"|No |"66692877"|"124302390"
"CL-ML"|No |"66692878"|"124302393"
"SP-SM"|No |"66692878"|"124302395"
"CL"|No |"66692878"|"124302392"
"SC"|Yes|"66692878"|"124302396"
"SM"|No |"66692878"|"124302394"
"CL-ML"|No |"66692879"|"124302398"
"CL"|Yes|"66692879"|"124302397"
"CH"|No |"66692880"|"124302399"
"CL"|Yes|"66692880"|"124302400"
"CL-ML"|No |"66692881"|"124302402"
"CL"|Yes|"66692881"|"124302401"
"CL-ML"|No |"66692882"|"124302404"
"CL"|Yes|"66692882"|"124302403"
"ML"|No |"66692882"|"124302405"
"CL-ML"|No |"66692730"|"124301992"
"CL"|Yes|"66692730"|"124301991"
"CL"|Yes|"66692731"|"124301993"
"SC-SM"|No |"66692732"|"124301996"
"CL"|No |"66692732"|"124301994"
"SC"|Yes|"66692732"|"124301995"
"SM"|No |"66692732"|"124301997"
"CL-ML"|No |"66692733"|"124301999"
"CL"|Yes|"66692733"|"124301998"
"CL-ML"|No |"66692734"|"124302001"
"CL"|Yes|"66692734"|"124302000"
"ML"|No |"66692734"|"124302002"
"CL-ML"|No |"66692738"|"124302010"
"CL"|Yes|"66692738"|"124302009"
"CL"|Yes|"66692739"|"124302011"
"CL-ML"|No |"66692740"|"124302013"
"SC-SM"|No |"66692740"|"124302015"
"CL"|No |"66692740"|"124302012"
"SC"|Yes|"66692740"|"124302014"
"CL-ML"|No |"66692741"|"124302017"
"SP-SM"|No |"66692741"|"124302019"
"CL"|No |"66692741"|"124302016"
"SC"|Yes|"66692741"|"124302020"
"SM"|No |"66692741"|"124302018"
"CL-ML"|No |"66692742"|"124302022"
"CL"|Yes|"66692742"|"124302021"
"CH"|No |"66692743"|"124302023"
"CL"|Yes|"66692743"|"124302024"
"CL-ML"|No |"66692744"|"124302026"
"CL"|Yes|"66692744"|"124302025"
"CL-ML"|No |"66692745"|"124302028"
"CL"|Yes|"66692745"|"124302027"
"ML"|No |"66692745"|"124302029"
"CL-ML"|No |"66692603"|"124301676"
"CL"|Yes|"66692603"|"124301675"
"CL-ML"|No |"66692604"|"124301678"
"CL"|Yes|"66692604"|"124301677"
"PT"|Yes|"66692605"|"124301679"
"OL"|Yes|"66692606"|"124301680"
