61|76|91|203|203|203|"Wet"|"235994244"|"148138166"
0|0|0|0|7|15|"Moist"|"235995173"|"148138543"
0|7|15|183|183|183|"Wet"|"235995173"|"148138544"
0|0|0|0|7|15|"Moist"|"235995174"|"148138545"
0|7|15|183|183|183|"Wet"|"235995174"|"148138546"
0|0|0|0|7|15|"Moist"|"235995175"|"148138547"
0|7|15|183|183|183|"Wet"|"235995175"|"148138548"
0|0|0|0|7|15|"Moist"|"235995184"|"148138555"
0|7|15|183|183|183|"Wet"|"235995184"|"148138556"
0|0|0|0|7|15|"Moist"|"235995183"|"148138553"
0|7|15|183|183|183|"Wet"|"235995183"|"148138554"
0|0|0|0|7|15|"Moist"|"235995177"|"148138551"
0|7|15|183|183|183|"Wet"|"235995177"|"148138552"
0|0|0|0|7|15|"Moist"|"235995176"|"148138549"
0|7|15|183|183|183|"Wet"|"235995176"|"148138550"
0|0|0|0|7|15|"Moist"|"235993500"|"148137709"
0|7|15|183|183|183|"Wet"|"235993500"|"148137710"
0|0|0|0|7|15|"Moist"|"235993502"|"148137713"
0|7|15|183|183|183|"Wet"|"235993502"|"148137714"
0|0|0|0|7|15|"Moist"|"235993501"|"148137711"
0|7|15|183|183|183|"Wet"|"235993501"|"148137712"
0|0|0|0|7|15|"Moist"|"235993511"|"148137719"
0|7|15|183|183|183|"Wet"|"235993511"|"148137720"
0|0|0|0|7|15|"Moist"|"235993504"|"148137717"
0|7|15|183|183|183|"Wet"|"235993504"|"148137718"
0|0|0|0|7|15|"Moist"|"235993503"|"148137715"
0|7|15|183|183|183|"Wet"|"235993503"|"148137716"
0|0|0|0|7|15|"Moist"|"235993512"|"148137721"
0|7|15|183|183|183|"Wet"|"235993512"|"148137722"
0|0|0|0|7|15|"Moist"|"235993514"|"148137725"
0|7|15|183|183|183|"Wet"|"235993514"|"148137726"
0|0|0|0|7|15|"Moist"|"235993513"|"148137723"
0|7|15|183|183|183|"Wet"|"235993513"|"148137724"
0|0|0|0|7|15|"Moist"|"235993523"|"148137733"
0|7|15|183|183|183|"Wet"|"235993523"|"148137734"
0|0|0|0|7|15|"Moist"|"235993522"|"148137731"
0|7|15|183|183|183|"Wet"|"235993522"|"148137732"
0|0|0|0|7|15|"Moist"|"235993516"|"148137729"
0|7|15|183|183|183|"Wet"|"235993516"|"148137730"
0|0|0|0|7|15|"Moist"|"235993515"|"148137727"
0|7|15|183|183|183|"Wet"|"235993515"|"148137728"
0|0|0|15|38|61||"235995249"|"148138592"
15|38|61|183|183|183|"Wet"|"235995249"|"148138593"
0|0|0|15|38|61||"235995248"|"148138590"
15|38|61|183|183|183|"Wet"|"235995248"|"148138591"
0|0|0|15|38|61||"235995252"|"148138594"
15|38|61|183|183|183|"Wet"|"235995252"|"148138595"
0|0|0|15|38|61||"235995245"|"148138586"
15|38|61|183|183|183|"Wet"|"235995245"|"148138587"
0|0|0|15|38|61||"235995247"|"148138588"
15|38|61|183|183|183|"Wet"|"235995247"|"148138589"
107|152|183|183|183|183||"235995269"|"148138596"
0|0|0|15|38|61||"235995269"|"148138597"
15|38|61|107|152|183|"Wet"|"235995269"|"148138598"
107|152|183|183|183|183||"235995273"|"148138605"
0|0|0|15|38|61||"235995273"|"148138606"
15|38|61|107|152|183|"Wet"|"235995273"|"148138607"
107|152|183|183|183|183||"235995272"|"148138602"
0|0|0|15|38|61||"235995272"|"148138603"
15|38|61|107|152|183|"Wet"|"235995272"|"148138604"
107|152|183|183|183|183||"235995276"|"148138608"
0|0|0|15|38|61||"235995276"|"148138609"
15|38|61|107|152|183|"Wet"|"235995276"|"148138610"
107|152|183|183|183|183||"235995271"|"148138599"
0|0|0|15|38|61||"235995271"|"148138600"
15|38|61|107|152|183|"Wet"|"235995271"|"148138601"
122|137|152|183|183|183||"235994656"|"148138310"
0|0|0|46|69|91||"235994656"|"148138311"
46|69|91|122|137|152|"Wet"|"235994656"|"148138312"
122|137|152|183|183|183||"235994655"|"148138307"
0|0|0|46|69|91||"235994655"|"148138308"
46|69|91|122|137|152|"Wet"|"235994655"|"148138309"
122|137|152|183|183|183||"235994659"|"148138313"
0|0|0|46|69|91||"235994659"|"148138314"
46|69|91|122|137|152|"Wet"|"235994659"|"148138315"
122|137|152|183|183|183||"235994652"|"148138301"
0|0|0|46|69|91||"235994652"|"148138302"
46|69|91|122|137|152|"Wet"|"235994652"|"148138303"
122|137|152|183|183|183||"235994654"|"148138304"
0|0|0|46|69|91||"235994654"|"148138305"
46|69|91|122|137|152|"Wet"|"235994654"|"148138306"
0|0|0|183|183|183|"Wet"|"235993550"|"148137747"
