"H1"||"H"||1||0|||43|||43||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||10|||1|||1|||2|||3|||3|||57||||||||28|33|35||||3|4.5|6||||1.2|1.4|1.6|||||1.6|||4.23|9.17|14.11|0.2|0.23|0.26|||||35.1|||23.9|||43||3|4.5|5.9|35|45|55|10|20|30|8|20|34|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|21|28|35||||10|20|32|5.6|6.5|7.3||||||||||3.3|6.8|10.6|||||||||||||||||||||"22552764"|"66692402"
"H2"||"H"||2||43|||137|||94||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||10|||1|||1|||2|||3|||3|||57||||||||20|33|35||||1|1.5|2||||1.4|1.5|1.6|||||1.71|||4.23|9.17|14.11|0.14|0.18|0.21|||||33.9|||21.8|||41||3|4.5|5.9|25|45|65|4|22|40|2|22|46|".37"|".37"|0|8|15|0|0|0|0|0|0|0|0|0|10|17.5|25||||5|13|22|5.6|6.7|7.8||||||||||0|4.1|8.1|||||||||||||||||||||"22552764"|"66692403"
"H1"||"H"||1||0|||28|||28||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||10|||1|||1|||2|||3|||3|||57||||||||28|33|35||||3|4.5|6||||1.2|1.4|1.6|||||1.6|||4.23|9.17|14.11|0.2|0.23|0.26|||||35.1|||23.9|||43||3|4.5|5.9|35|45|55|10|20|30|8|20|34|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|21|28|35||||13|21|32|6.1|6.7|7.3||||||||||3.3|6.3|9.2|||||||||||||||||||||"22552765"|"66692404"
"H2"||"H"||2||28|||112|||84||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||10|||1|||1|||2|||3|||3|||59||||||||28|31|35||||1|2|3||||1.4|1.5|1.6|||||1.71|||4.23|9.17|14.11|0.14|0.18|0.21|||||33.6|||21.2|||40||3|4.5|5.9|40|52.5|65|20|30|40|17|30|46|".37"|".37"|0|8|15|0|0|0|0|0|0|0|0|0|13|20|27||||8|15|24|6.1|6.7|7.3||||||||||1.7|4.5|7.3|||||||||||||||||||||"22552765"|"66692405"
"H3"||"H"||3||112|||147|||35||0|0|0|0|0|0|95|97.5|100|90|95|100|85|92.5|100|25|57.5|90||50|||2|||2|||12|||22|||12|||29||||||||15|21|27||||0.5|0.75|1||||1.5|1.6|1.7|||||1.68|||4.23|9.17|14.11|0.1|0.14|0.18|||||28.5|||14.1|||36||0|1.5|2.9|10|25|40|0|10|20|0|2|18|".32"|".32"|0|15|30|0|0|0|0|0|0|0|0|0|7|12.5|18||||5|11|16|6.6|7.2|7.8||||||||||0|1.9|4.2|||||||||||||||||||||"22552765"|"66692406"
"H4"||"H"||4||147|||178|||31||0|0|0|0|0|0|90|95|100|85|92.5|100|55|77.5|100|0|37.5|75||60|||2|||2|||18|||26|||12|||30||||||||5|10|15||||0.5|0.75|1||||1.5|1.6|1.7|||||1.68|||4.23|9.17|14.11|0.05|0.1|0.14|||||22.3|||7.2|||36||0|1.5|2.9|0|20|40|0|7.5|15|0|0|11|".37"|".37"|5|18|30|0|0|0|0|0|0|0|0|0|3|7|11||||3|6|10|7.4|7.9|8.4||||||||||0|0|1.2|||||||||||||||||||||"22552765"|"66692407"
"H1"||"H"||1||0|||25|||25||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||17|||1|||2|||4|||5|||5|||55||||||||28|28|35||||3|4.5|6||||1.2|1.4|1.6|||||1.6|||4.23|9.17|14.11|0.18|0.21|0.24|||||33.7|||21.3|||43||3|4.5|5.9|35|45|55|10|20|30|8|20|34|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|19|26|33||||9|19|30|5.6|6.5|7.3||||||||||3.1|6.6|10.4|||||||||||||||||||||"22552913"|"66692833"
"H2"||"H"||2||25|||94|||69||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|92.5|100||12|||0|||1|||3|||4|||4|||55||||||||25|33|35||||1|2|3||||1.4|1.5|1.6|||||1.71|||4.23|9.17|14.11|0.18|0.19|0.2|||||34.3|||22.4|||40||3|4.5|5.9|25|45|65|4|22|40|2|22|46|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|13|20|27||||8|17|24|6.1|7|7.8||||||||||0.4|3.7|7.3|||||||||||||||||||||"22552913"|"66692834"
"H3"||"H"||3||94|||122|||28||0|0|0|0|1|1|95|97.5|100|90|95|100|85|90|95|55|67.5|80||34|||1|||3|||8|||13|||9|||41||||||||20|25|35||||0.5|0.75|1||||1.5|1.6|1.7|||||1.83|||4.23|9.17|14.11|0.15|0.17|0.19|||||30|||16.5|||36||3|4.5|5.9|20|35|50|5|17.5|30|0|9|24|".37"|".37"|0|13|25|0|0|0|0|0|0|0|0|0|9|16|23||||7|14|21|6.6|7.2|7.8||||||||||0|2.3|4.8|||||||||||||||||||||"22552913"|"66692835"
"H4"||"H"||4||122|||152|||30||0|1|1|0|2|3|90|95|100|85|91.5|98|75|82.5|90|45|57.5|70||40|||4|||5|||8|||14|||9|||43||||||||12|17|18||||0.5|0.75|1||||1.7|1.8|1.9|||||1.89|||0.42|0.92|1.41|0.02|0.07|0.12|||||22.8|||12.4|||28||0|1.5|2.9|15|22.5|30|0|7.5|15|0|1|8|".43"|".43"|0|20|40|0|0|0|0|0|0|0|0|0|5|10|15||||4|9|14|7.4|7.9|8.4||||||||||0|0|1.7|||||||||||||||||||||"22552913"|"66692836"
